DP;DPNOM;DPMP;MPIO;2017;cdigo.dane
5;Antioquia;5001;Medellín;2508452;5001000
5;Antioquia;5002;Abejorral;19096;5002000
5;Antioquia;5004;Abriaquí;2019;5004000
5;Antioquia;5021;Alejandría;3393;5021000
5;Antioquia;5030;Amagá;2998;5030000
5;Antioquia;5031;Amalfi;22414;5031000
5;Antioquia;5034;Andes;46621;5034000
5;Antioquia;5036;Angelópolis;9216;5036000
5;Antioquia;5038;Angostura;11139;5038000
5;Antioquia;5040;Anorí;17521;5040000
5;Antioquia;5042;Santafé de Antioquia;24905;5042000
5;Antioquia;5044;Anza;7591;5044000
5;Antioquia;5045;Apartadó;189325;5045000
5;Antioquia;5051;Arboletes;42301;5051000
5;Antioquia;5055;Argelia;8426;5055000
5;Antioquia;5059;Armenia;4029;5059000
5;Antioquia;5079;Barbosa;51617;5079000
5;Antioquia;5086;Belmira;6875;5086000
5;Antioquia;5088;Bello;473423;5088000
5;Antioquia;5091;Betania;9079;5091000
5;Antioquia;5093;Betulia;17663;5093000
5;Antioquia;5101;Ciudad Bolívar;26828;5101000
5;Antioquia;5107;Briceño;8682;5107000
5;Antioquia;5113;Buriticá;6531;5113000
5;Antioquia;5120;Cáceres;39918;5120000
5;Antioquia;5125;Caicedo;833;5125000
5;Antioquia;5129;Caldas;79652;5129000
5;Antioquia;5134;Campamento;897;5134000
5;Antioquia;5138;Cañasgordas;16745;5138000
5;Antioquia;5142;Caracolí;4543;5142000
5;Antioquia;5145;Caramanta;5321;5145000
5;Antioquia;5147;Carepa;58667;5147000
5;Antioquia;5148;El Carmen de Viboral;47915;5148000
5;Antioquia;5150;Carolina;3552;5150000
5;Antioquia;5154;Caucasia;11767;5154000
5;Antioquia;5172;Chigorodó;80132;5172000
5;Antioquia;5190;Cisneros;8932;5190000
5;Antioquia;5197;Cocorná;14945;5197000
5;Antioquia;5206;Concepción;3284;5206000
5;Antioquia;5209;Concordia;20476;5209000
5;Antioquia;5212;Copacabana;71885;5212000
5;Antioquia;5234;Dabeiba;23176;5234000
5;Antioquia;5237;Don Matías;23209;5237000
5;Antioquia;5240;Ebéjico;12507;5240000
5;Antioquia;5250;El Bagre;50242;5250000
